template,1,2,3,4,5,6,7,8,9,10,11,12
A,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB2.5+S,MUB2.5,Buf+s,Buf
B,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB2.5+S,MUB2.5,Buf+s,Buf
C,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB1.25+S,MUB1.25,Buf+s,Buf
D,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB1.25+S,MUB1.25,Buf+s,Buf
E,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.625+S,MUB0.625,Buf+s,Buf
F,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.625+S,MUB0.625,Buf+s,Buf
G,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.16+S,MUB0.16,Buf+s,Buf
H,B-Blank,B-Blank,B-Blank,B-Blank,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,B-Assay-ST2,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
data,1,2,3,4,5,6,7,8,9,10,11,12
A,2390,408,335,344,1933,3365,2288,1770,2460,12808,73,52
B,1962,315,264,232,1394,2368,1976,1480,2455,13580,78,53
C,1534,258,189,198,1086,2006,1597,1199,1245,5326,76,51
D,1175,163,172,123,848,1124,1086,1153,966,5673,78,53
E,1044,112,79,91,753,1390,998,1257,651,2929,74,52
F,94,62,43,43,76,77,78,78,645,2271,76,61
G,519,65,52,48,177,518,81,100,288,839,78,54
H,339,64,50,44,328,499,82,442,230,683,78,54
,,,,,,,,,,,,
bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,bad,,,,,,,,,,,
B,bad,,,,,,,,,,,
C,bad,,,,,,,,,,,
D,bad,,,,,,,,,,,
E,bad,,,,,,,,,,,
F,bad,,,,,,,,,,,
G,bad,,,,,,,,,,,
H,bad,bad,,,,,,,,,,
,,,,,,,,,,,,
ph_batch,1,2,3,4,5,6,7,8,9,10,11,12
A,7,7,7,7,7,7,7,7,7,7,7,7
B,7,7,7,7,7,7,7,7,7,7,7,7
C,7,7,7,7,7,7,7,7,7,7,7,7
D,7,7,7,7,7,7,7,7,7,7,7,7
E,7,7,7,7,7,7,7,7,7,7,7,7
F,7,7,7,7,7,7,7,7,7,7,7,7
G,7,7,7,7,7,7,7,7,7,7,7,7
H,7,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
